"Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BIFENTHRIN = 128825)","INSECTICIDE",7300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BT KURSTAK ABTS-1857 = 6523)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BT KURSTAKI ABTS-351 = 6522)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BT KURSTAKI SA-11 = 6519)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BT SUB AIZAWAI GC-91 = 6426)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BUPROFEZIN = 275100)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BURKHOLDERIA A396 CELLS & MEDIA = 6534)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CARBARYL = 56801)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE",1900
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CHLORPYRIFOS = 59101)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CYANTRANILIPROLE = 90098)","INSECTICIDE",900
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CYFLUMETOFEN = 138831)","INSECTICIDE",5200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(ETOXAZOLE = 107091)","INSECTICIDE",1200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FENBUTATIN-OXIDE = 104601)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FENPROPATHRIN = 127901)","INSECTICIDE",6000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FENPYROXIMATE = 129131)","INSECTICIDE",400
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FLONICAMID = 128016)","INSECTICIDE",3300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FLUPYRADIFURONE = 122304)","INSECTICIDE",4800
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(HELICOVERPA ZEA NPV = 107300)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(HEXYTHIAZOX = 128849)","INSECTICIDE",2300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(IMIDACLOPRID = 129099)","INSECTICIDE",3500
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(MALATHION = 57701)","INSECTICIDE",56700
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(METHOXYFENOZIDE = 121027)","INSECTICIDE",3300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(NALED = 34401)","INSECTICIDE",12700
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(NEEM OIL = 25006)","INSECTICIDE",1100
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(NEEM OIL","INSECTICIDE",51600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(NOVALURON = 124002)","INSECTICIDE",4600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PIPERONYL BUTOXIDE = 67501)","INSECTICIDE",1200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(POTASSIUM SALTS = 79021)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PYRETHRINS = 69001)","INSECTICIDE",200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PYRIDABEN = 129105)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PYRIPROXYFEN = 129032)","INSECTICIDE",100
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(SOYBEAN OIL = 31605)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(SPINETORAM = 110007)","INSECTICIDE",2300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(SPINOSAD = 110003)","INSECTICIDE",600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(SPIROMESIFEN = 24875)","INSECTICIDE",1800
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(SULFOXAFLOR = 5210)","INSECTICIDE",1000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(THIAMETHOXAM = 60109)","INSECTICIDE",1400
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TOTAL)","INSECTICIDE",212600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(ACIBENZOLAR-S-METHYL = 61402)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(AUREOBASIDIUM PULLULANS DSM 14940 = 46010)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(AUREOBASIDIUM PULLULANS DSM 14941 = 36010)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BT KURSTAKI SA-12 = 6518)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CAPRIC ACID = 128955)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CAPRYLIC ACID = 128919)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CHLOROPICRIN = 81501)","OTHER",6146600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(DICHLOROPROPENE = 29001)","OTHER",1045700
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FLUTRIAFOL = 128940)","OTHER",1700
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(GLIOCLADIUM VIRENS = 129000)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(HYDROGEN PEROXIDE = 595)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(IRON PHOSPHATE = 34903)","OTHER",100
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(METALDEHYDE = 53001)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(METAM-POTASSIUM = 39002)","OTHER",254000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(METAM-SODIUM = 39003)","OTHER",244000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PAECILOMYCES FUMOSOR = 115002)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PEROXYACETIC ACID = 63201)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(POTASSIUM SILICATE = 72606)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(REYNOUTRIA SACHALINE = 55809)","OTHER",600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TOTAL)","OTHER",7698900
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TRICHODERMA VIRENS STRAIN G-41 = 176604)","OTHER",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB"," ","(NITROGEN)",668000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB"," ","(PHOSPHATE)",493000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB"," ","(POTASH)",430000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB"," ","(SULFUR)",57000
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE",0.21
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS PUMILUS = 6485)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS SUBT. GB03 = 129068)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS SUBTILIS = 6479)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BLAD = 30006)","FUNGICIDE",0.48
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BORAX DECAHYDRATE = 11102)","FUNGICIDE",0.02
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE",0.34
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BT SUBSP KURSTAKI EVB-113-19 = 6544)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE",1.74
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(COPPER HYDROXIDE = 23401)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(COPPER OCTANOATE = 23306)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUFENAMID = 555550)","FUNGICIDE",0.02
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE",0.32
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(DIFENOCONAZOLE = 128847)","FUNGICIDE",0.11
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(FENHEXAMID = 90209)","FUNGICIDE",0.62
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE",0.21
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUOPYRAM = 80302)","FUNGICIDE",0.11
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUXAPYROXAD = 138009)","FUNGICIDE",0.17
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(FOSETYL-AL = 123301)","FUNGICIDE",4
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(ISOFETAMID = 270000)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE",0.49
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(MONO-POTASSIUM SALT = 76416)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE",0.11
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(PENTHIOPYRAD = 90112)","FUNGICIDE",0.3
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE",0.07
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(POTASSIUM BICARBON. = 73508)","FUNGICIDE",2.38
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(PROPICONAZOLE = 122101)","FUNGICIDE",0.11
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE",0.17
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRIMETHANIL = 288201)","FUNGICIDE",0.51
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(QUINOLINE = 55459)","FUNGICIDE",0.1
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(STREPTOMYCES LYDICUS = 6327)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFUR = 77501)","FUNGICIDE",3.66
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(TETRACONAZOLE = 120603)","FUNGICIDE",0.04
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIOPHANATE-METHYL = 102001)","FUNGICIDE",0.67
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIRAM = 79801)","FUNGICIDE",2.22
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRICHODERMA HARZ. = 119202)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE",0.11
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLUMIZOLE = 128879)","FUNGICIDE",0.23
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE",0.02
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUMIOXAZIN = 129034)","HERBICIDE",0.09
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(GLUFOSINATE-AMMONIUM = 128850)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(GLYPHOSATE ISO. SALT = 103601)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(NAPROPAMIDE = 103001)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(OXYFLUORFEN = 111601)","HERBICIDE",0.31
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(PENDIMETHALIN = 108501)","HERBICIDE",1.2
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFENTRAZONE = 129081)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(ABAMECTIN = 122804)","INSECTICIDE",0.02
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(ACEQUINOCYL = 6329)","INSECTICIDE",0.3
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(ACETAMIPRID = 99050)","INSECTICIDE",0.13
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(AZADIRACHTIN = 121701)","INSECTICIDE",0.03
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BEAUVERIA BASSIANA = 128924)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE",0.5
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE",0.11
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BT KURSTAK ABTS-1857 = 6523)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BT KURSTAKI ABTS-351 = 6522)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  "," AVG","MEASURED IN LB / ACRE / APPLICATION","(BT KURSTAKI SA-11 = 6519)","INSECTICIDE",0
